,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,main_topic,Text,target_label
Doc11,0.02,0.33,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.5,11,Great price and easy to use,discounts
Doc12,0.22,0.01,0.01,0.01,0.01,0.01,0.01,0.26,0.01,0.01,0.01,0.4,11,Good price and easy to use a garage I was familiar with.,discounts
Doc13,0.02,0.02,0.02,0.02,0.51,0.02,0.02,0.02,0.28,0.02,0.02,0.02,4,Booked slot then you couldn't provide it and had to re-arrange. Makes a bit of a mockery of an online booking system...,wait time
Doc14,0.35,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.51,0.01,0.01,9,Good price and some good fitting centres,tyre quality
Doc15,0.01,0.01,0.18,0.01,0.01,0.01,0.01,0.01,0.01,0.37,0.01,0.33,9,Competitively priced and easy to use fitting centre near me who were very professional.,tyre quality
Doc16,0.35,0.01,0.14,0.16,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.27,0,Very easy to use. I was kept up to date every step of the way. Good product at good price. Thank you.,value for money
Doc17,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.42,0.01,0.17,0.01,0.34,7,"A really easy website to navigate, competitive prices and a great selection of garages to choose from for fitting.",location
Doc18,0.22,0.02,0.02,0.02,0.62,0.02,0.02,0.02,0.02,0.02,0.02,0.02,4,A very good experience and a set time booking,wait time
Doc19,0.52,0.02,0.02,0.02,0.02,0.02,0.27,0.02,0.02,0.02,0.02,0.02,0,"No hassle, no fuss and a good price",value for money
Doc20,0.64,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.22,0.01,0.01,0,"Good price ,good fitting service at ATS cleckheaton.",value for money
Doc21,0.2,0.01,0.01,0.17,0.01,0.01,0.01,0.01,0.01,0.24,0.01,0.35,11,"Quick and simple website from which to choose the tyres I wanted. Good value, good quality tyres. Whole process from choice to fitting was easy.",discounts
Doc22,0.01,0.53,0.01,0.01,0.01,0.01,0.01,0.01,0.37,0.01,0.01,0.01,1,"Great choice, quick service and excellent garage for fitting",garage service
Doc23,0.02,0.02,0.02,0.02,0.33,0.02,0.02,0.02,0.02,0.02,0.47,0.02,10,The staff at the garage have no manners and swear openly in front of customers.,length of fitting
Doc24,0.01,0.01,0.01,0.01,0.01,0.21,0.01,0.5,0.01,0.16,0.01,0.01,7,Best prices and fitted by local company.,location
Doc25,0.01,0.01,0.01,0.01,0.01,0.31,0.01,0.01,0.29,0.01,0.28,0.01,5,Had to wait in garage for more than an hour to get fitted. Booked a time slot to avoid any wait,delivery punctuality
Doc26,0.32,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.51,11,Very easy to use and good prices.,discounts
Doc27,0.2,0.01,0.01,0.01,0.01,0.01,0.01,0.66,0.01,0.01,0.01,0.01,7,"Had the tyres I wanted at the price I liked, and the fitting garage were as good as always.",location
Doc28,0.01,0.36,0.01,0.01,0.01,0.01,0.32,0.19,0.01,0.01,0.01,0.01,1,"Quick ordering, great service from the garage",garage service
Doc29,0.01,0.1,0.2,0.01,0.15,0.01,0.34,0.01,0.01,0.01,0.01,0.15,6,Simple to order. Easy to book your appointment. Tyres turned up on time. Fitters did a great job.,ease of booking
Doc30,0.21,0.01,0.2,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.53,11,Easy to use site. Good choice of tyres at a good price. Choice of tyre fitters near my home plentiful.,discounts
Doc31,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.5,0.02,0.3,9,It was easy to find the tyres I needed and close to home for fitting,tyre quality
Doc32,0.01,0.49,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.18,0.2,0.01,1,Great service car ready on time and price was reasonable,garage service
Doc33,0.02,0.77,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,Great price and service,garage service
Doc34,0.16,0.01,0.01,0.01,0.13,0.01,0.19,0.01,0.01,0.01,0.44,0.01,10,Staff with [REDACTED] went above and beyond to help me organise my booking and ordering my tires. The staff within the chosen garage were also quick and efficient. :),length of fitting
Doc35,0.53,0.02,0.02,0.02,0.02,0.02,0.3,0.02,0.02,0.02,0.02,0.02,0,"Quick, convenient, hassle-free. No need to phone around for prices and I'm confident I save money.",value for money
Doc36,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.41,0.02,0.38,9,"PRICE WAS COMPETATIVE, FITTING WAS EASY",tyre quality
Doc37,0.2,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.13,0.4,0.22,10,"[REDACTED]' website was easy to use, gave clear options for tyres suitable for my car. Tyres are good value for the good quality they are. The staff at the garage I chose were very friendly and flexible to fit my needs.",length of fitting
Doc38,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.35,0.15,0.41,11,"Easy to order tyres, choose fitting centre and everything went smoothly",discounts
Doc39,0.18,0.01,0.01,0.01,0.01,0.49,0.01,0.01,0.01,0.01,0.2,0.01,5,My tyre was fitted as per time and seem to be efficient . OST of the staff we pleasant,delivery punctuality
Doc40,0.02,0.42,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.42,0.02,1,Excellent service very nice garage staff CFM NORTHAMPTON SUPERB,garage service
Doc41,0.01,0.28,0.01,0.01,0.01,0.01,0.15,0.01,0.48,0.01,0.01,0.01,8,"Great choice of tyres and prices, smooth ordering and fitting booking",booking confusion
Doc42,0.21,0.01,0.01,0.01,0.01,0.44,0.01,0.01,0.01,0.01,0.01,0.26,5,Easy to order all ready when I got there fitted quickly with no issues at a good price,delivery punctuality
Doc43,0.01,0.6,0.01,0.01,0.01,0.01,0.01,0.26,0.01,0.01,0.01,0.01,1,Great service great price you just have to pick the garage carefully,garage service
Doc44,0.01,0.28,0.01,0.01,0.01,0.01,0.01,0.6,0.01,0.01,0.01,0.01,7,The prices are competitive and the local garage provides great service.,location
Doc45,0.01,0.12,0.44,0.01,0.12,0.01,0.01,0.01,0.01,0.01,0.01,0.24,2,"Easy to navigate website, was sent notification of the appointment, but most important the suggested tyre fitter was excellent. I will be recommending and using [REDACTED] and their suggested fitter, Merityre in Bookham in the future",mobile fitter
Doc46,0.02,0.02,0.3,0.02,0.02,0.02,0.02,0.02,0.02,0.54,0.02,0.02,9,Easily arranged on line. Decent price for tyres and only small extra charge for fitting at home. That was done by very pleasant fitter.,tyre quality
Doc47,0.01,0.01,0.2,0.01,0.01,0.39,0.31,0.01,0.01,0.01,0.01,0.01,5,"Convenient, easy way to search for tyres and pick a garage and a time that is suitable",delivery punctuality
Doc48,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.82,0.02,0.02,9,Good price. Quality tyres.,tyre quality
Doc49,0.77,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0,Very good service. Confidence in price.,value for money
Doc50,0.01,0.01,0.01,0.01,0.01,0.01,0.64,0.22,0.01,0.01,0.01,0.01,6,"Simple ordering, convenient fitting and sensible prices",ease of booking
Doc51,0.02,0.02,0.02,0.02,0.02,0.39,0.02,0.02,0.02,0.02,0.23,0.22,5,Ease of use The mechanics who fitted my tyres were very helpful.,delivery punctuality
Doc52,0.01,0.01,0.01,0.01,0.01,0.38,0.01,0.01,0.01,0.01,0.01,0.48,11,Easy to order easy to get fitted at a time and place to suit,discounts
Doc53,0.01,0.01,0.27,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.63,0.01,10,"Happy with [REDACTED] but won’t be using the garage to fit them , the man at the garage was very rude to me , so when I need tyres again from [REDACTED] I won’t be going to just tyres in Solihull off life lane",length of fitting
Doc54,0.02,0.02,0.02,0.02,0.02,0.02,0.26,0.57,0.02,0.02,0.02,0.02,7,Competitive price and convenient fitting in Northern Ireland.,location
Doc55,0.02,0.62,0.22,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,Service and price were incomparable to other similar services and fitter couldn’t of been anymore friendlier,garage service
Doc56,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.54,0.04,0.04,9,Slow fitting.,tyre quality
Doc57,0.01,0.01,0.01,0.01,0.01,0.01,0.21,0.65,0.01,0.01,0.01,0.01,7,"Great prices and selection of tyres, convenient fitting locations",location
Doc58,0.4,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.34,0.15,0.01,0,Used them before and was happy with the quick service and price for full fitting,value for money
Doc59,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.54,0.04,0.04,0.04,0.04,7,Not a 10 as I found the garage a bit difficult to find,location
Doc60,0.82,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0,"good price, good service",value for money
Doc61,0.2,0.33,0.01,0.01,0.15,0.01,0.23,0.01,0.01,0.01,0.01,0.01,1,"Always good online price and very convenient - and excellent - fitting service at SBServices, Strathaven",garage service
Doc62,0.21,0.01,0.01,0.01,0.01,0.01,0.01,0.48,0.01,0.01,0.01,0.19,7,Good prices. easy to arrange local fitting,location
Doc63,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.77,0.02,0.02,9,"Miles better price than anywhere else, selection of fitting centres and methods very versatile",tyre quality
Doc64,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0,more expensive,value for money
Doc65,0.28,0.02,0.22,0.02,0.02,0.02,0.02,0.35,0.02,0.02,0.02,0.02,7,Good price. Local fitters.,location
Doc66,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.29,0.59,0.01,0.01,9,Because the company fitting the tyres took a very long time to do the job.Almost as though they didnt like the fact the tyres had been booked through [REDACTED],tyre quality
Doc67,0.03,0.03,0.03,0.69,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,3,Contacted to change date as original date was changed by [REDACTED],change of date
Doc68,0.01,0.15,0.01,0.01,0.01,0.43,0.31,0.01,0.01,0.01,0.01,0.01,5,Dropped the car off at the time stated on the order and 30 mins later ready to drive away simple great job.,delivery punctuality
Doc69,0.03,0.39,0.03,0.03,0.03,0.33,0.03,0.03,0.03,0.03,0.03,0.03,1,I knew about the superb service because I have bought tyres before from [REDACTED].,garage service
Doc70,0.77,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0,Efficient and good value,value for money
Doc71,0.17,0.18,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.52,11,"Good choice, easy to use, great pricing",discounts
Doc72,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.57,0.01,0.33,0.01,0.01,7,This is the best price and range of tyres I could find also local garages and good times,location
Doc73,0.01,0.01,0.01,0.01,0.16,0.01,0.34,0.01,0.13,0.01,0.29,0.01,6,because it was hassle free. booked it online. took it to the garage on a Saturday and collected after. it was cheaper than the garage I took the car to.,ease of booking
Doc74,0.01,0.16,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.51,0.09,0.09,9,I have used [REDACTED] on a number of occasions and have always received great service and a really good quality product. The number and locations of the approved fitting centres makes it easy to fit in with work.,tyre quality
Doc75,0.24,0.01,0.01,0.56,0.12,0.01,0.01,0.01,0.01,0.01,0.01,0.01,3,"The process was simple and the tyre I bought was a good price. The only issue was that fitting it took 35 minutes from arriving at depot to leaving, which I felt was too long for a pre-arranged appointment.",change of date
Doc76,0.29,0.4,0.01,0.01,0.01,0.01,0.01,0.01,0.18,0.01,0.01,0.01,1,"Excellent service, good prices and lots choices.",garage service
Doc77,0.01,0.01,0.3,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.56,11,Easy to order and choose your own tyre fitter,discounts
Doc78,0.01,0.44,0.01,0.01,0.44,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,"Great price, great customer experience at the garage I chose. Couldn’t fault the whole thing",garage service
Doc79,0.13,0.25,0.11,0.01,0.01,0.44,0.01,0.01,0.01,0.01,0.01,0.01,5,"Excellent service, tyres delivered to the fitter arranged.both tyres were fitted to my car in about thirty minutes. Very good service.",delivery punctuality
Doc80,0.26,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.33,0.02,0.26,9,Good price and fitting was easy to arrange,tyre quality
Doc81,0.57,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.26,0.02,0.02,0,Good service and price. ‘Faceless’ company,value for money
Doc82,0.01,0.01,0.01,0.01,0.29,0.01,0.01,0.01,0.01,0.01,0.01,0.59,11,The website is easy to use and you can choose the garage you want to complete the work,discounts
Doc83,0.01,0.19,0.01,0.01,0.01,0.3,0.19,0.16,0.01,0.01,0.01,0.1,5,"Excellent service! Simple website ordering system, tyres delivered to my local garage and fitted in a timely manner.",delivery punctuality
Doc84,0.02,0.52,0.02,0.02,0.02,0.02,0.02,0.31,0.02,0.02,0.02,0.02,1,Great service and competitive price,garage service
Doc85,0.01,0.01,0.01,0.01,0.01,0.4,0.01,0.01,0.01,0.28,0.2,0.01,5,Item went missing from my vehicle during the time it was with the Company that fitted my tyres,delivery punctuality
Doc86,0.02,0.02,0.02,0.02,0.29,0.02,0.02,0.02,0.51,0.02,0.02,0.02,8,You missed the appointment time and told me the night before,booking confusion
Doc87,0.02,0.29,0.02,0.02,0.02,0.02,0.02,0.34,0.02,0.02,0.22,0.02,7,"Excellent all round, very competitive prices and the team were hugely helpful",location
Doc88,0.01,0.01,0.16,0.01,0.01,0.01,0.01,0.73,0.01,0.01,0.01,0.01,7,Unbeatable Prices. Brilliant way to purchase tyres and plenty of local garages to fit them.I was unable to find a better deal elsewhere.,location
Doc89,0.62,0.26,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,"Excellent service, very quick & efficient at a very good price",value for money
Doc90,0.01,0.01,0.01,0.01,0.01,0.29,0.18,0.4,0.01,0.01,0.01,0.01,7,Got the tyres I wanted with no hassle and at the best price.,location
Doc91,0.01,0.38,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.13,0.01,0.33,1,Easy to use web site. User friendly appointment fitting and importantly great prices and great range of tyres,garage service
Doc92,0.01,0.44,0.15,0.01,0.01,0.01,0.3,0.01,0.01,0.01,0.01,0.01,1,"Exactly what I wanted. As always, great prices and simple ordering, backed up by an excellent fitter. Exactly what I want.",garage service
Doc93,0.21,0.01,0.01,0.26,0.01,0.01,0.01,0.26,0.01,0.01,0.01,0.21,3,"Good choice of products on the website, and efficient delivery and fitting process in conjunction with our local garage.",change of date
Doc94,0.22,0.39,0.01,0.26,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,"Excellent service, and very good cost saving on tyres. Would recommend.",garage service
Doc95,0.02,0.52,0.02,0.02,0.02,0.27,0.02,0.02,0.02,0.02,0.02,0.02,1,"Very pleased. Excellent price on line and then fitted locally. What’s not to like,",garage service
Doc96,0.42,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.42,0.02,0.02,0.02,0,"Good price, arrived in time",value for money
Doc97,0.15,0.36,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.26,0.01,0.13,1,"Excellent service and good price too, have used previously and will use again",garage service
Doc98,0.01,0.01,0.46,0.01,0.01,0.01,0.01,0.4,0.01,0.01,0.01,0.01,2,"New tyres. Ease of purchase, garage professional and courteous.",mobile fitter
Doc99,0.26,0.01,0.01,0.01,0.18,0.16,0.3,0.01,0.01,0.01,0.01,0.01,6,Affordable and good online tyre data info. The only negative comment is I wanted to book at home service but could not book a slot except am or pm,ease of booking
Doc100,0.01,0.09,0.01,0.01,0.01,0.22,0.1,0.12,0.01,0.01,0.18,0.25,11,Nice and Easy. The website nice and simple to use. A local garage fitted them at a time of my choosing. No issues or problems with the service.,discounts
Doc101,0.01,0.01,0.01,0.01,0.61,0.01,0.01,0.01,0.01,0.31,0.01,0.01,4,"Why the wait. Purchasing the new tyre and booking an appointment for fitting was very straightforward, but I was rather disappointed that having made a booking I still had to wait around for nearly 2 hours at the garage when the actual fitting only took 20 mins tops.",wait time
Doc102,0.5,0.09,0.01,0.35,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,"Thought I’d already done this but it’s definitely worth doing again as I’m very satisfied with [REDACTED] and the authorised fitting firm Shawfix. Very good system,efficient and great value for money. I highly recommend this company and I’m glad a friend of mine recommended them to me too.",value for money
Doc103,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.69,11,Easy to use and faultless from start to finish,discounts
Doc104,0.02,0.22,0.22,0.02,0.02,0.02,0.02,0.42,0.02,0.02,0.02,0.02,7,Everything done as expected. However either this fitter (ATS) or my local garage where I had a service done has put some finger marks on the inner roof lining. but I can't be sure which.,location
Doc105,0.01,0.01,0.01,0.28,0.08,0.29,0.09,0.21,0.01,0.01,0.01,0.01,5,Tyres purchase and fitting. Tyres fitted to my car locally at a great price.Kept informed of fitting date and time throughout.All in all a fuss free and pleasurable experience which I will definitely use again.,delivery punctuality
Doc106,0.02,0.02,0.62,0.22,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,2,Very friendly and professional. Thanks for a speedy and painless turnaround. Definitely will be using you again.,mobile fitter
Doc107,0.01,0.61,0.01,0.01,0.01,0.01,0.01,0.27,0.01,0.01,0.01,0.01,1,Great garage great tyres great service,garage service
Doc108,0.01,0.18,0.01,0.01,0.01,0.01,0.51,0.01,0.01,0.2,0.01,0.01,6,Quick and easy service from ordering the tyres to the fitting.,ease of booking
Doc109,0.2,0.01,0.01,0.01,0.01,0.25,0.01,0.27,0.01,0.17,0.01,0.01,7,Good competitive price and fitted bang on time slot,location
Doc110,0.01,0.48,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.12,0.01,0.3,1,Great service. Easy to order with a first class fitting service,garage service
Doc111,0.02,0.02,0.02,0.02,0.82,0.02,0.02,0.02,0.02,0.02,0.02,0.02,4,Busy garage. Very busy garage make a appointment very pleased with the work that was done,wait time
Doc112,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.52,0.01,0.2,0.01,0.17,7,It was easy to pick the tyres I wanted at a great price. Then select a garage and time that suits you.,location
Doc113,0.01,0.26,0.01,0.64,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,3,Excellent service and simple system for the whole process. Would recommend to all and will definitely use again.,change of date
Doc114,0.01,0.13,0.01,0.1,0.11,0.01,0.01,0.13,0.01,0.01,0.2,0.3,11,"Great service, very easy to use website. The staff at my local dealer - Oak Tree Garage,Darlington Road, DL6 2PA - were very polite, helpful and informative. Overall a brilliant experience, I will definitely use them again.",discounts
Doc115,0.28,0.01,0.01,0.2,0.01,0.25,0.01,0.01,0.01,0.2,0.01,0.01,0,New Tyres. Quick delivery to fitting centre that was also quick and very efficient. will def. use [REDACTED] and the garage again.,value for money
Doc116,0.0,0.0,0.05,0.17,0.0,0.0,0.04,0.0,0.29,0.0,0.43,0.0,10,"Very professional and helpful staff.Strongly recommend although I had slightly problems with one of the garage's date after I selected the convenient garage with their availability date and hour to fit four tyres for my car.15 minutes later I received an email from [REDACTED], saying that the nominated garage is fully booked on that day ( when I booked there were showing other three different times as well on that day !! ).The garages's deta bases have to be up to date with [REDACTED] system. Many thanks to [REDACTED] staff were resolved the problem very quickly.",length of fitting
Doc117,0.32,0.01,0.01,0.01,0.01,0.01,0.14,0.18,0.01,0.01,0.01,0.29,0,"Will use again. Ease of ordering on line, choice of garage, good price and pleased with service all round.",value for money
Doc118,0.01,0.78,0.01,0.14,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,"Excellent service. Price is great (fitting included in price, no hidden costs). Fast and great service, will always recommend.",garage service
Doc119,0.01,0.08,0.01,0.01,0.01,0.01,0.01,0.01,0.72,0.01,0.01,0.15,8,"Easy to use and garage was great. Only crticism is that on [REDACTED] it said the slot was morning so I checked with them what that actualy meant. They said I could go anytime from 8.30 to 11.30. I booked the fitting and got an appointment time of 8.30, no flexibility as per first enquiry. I mentioned this to the garage and they told me they also get told what time slot it is by [REDACTED]. This should be clearer up front.",booking confusion
Doc120,0.21,0.01,0.01,0.12,0.12,0.01,0.01,0.01,0.17,0.32,0.01,0.01,9,"Seamless hasslefree experience. Seamless delivery, fitting and payment. Good price too. I like being able to select the tyre I want in advance. There was a good range to suit my budget and being able to schedule it for a time/day that suits me is very handy.",tyre quality
Doc121,0.02,0.27,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.52,11,Very easy to use and a great saving on previous quotes. Faultless from start to finish,discounts
Doc122,0.01,0.14,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.34,0.29,0.14,9,"Never had any issues with the tyres, fitting or garages i’ve Used via [REDACTED]- easy and cost effective service.",tyre quality
Doc123,0.01,0.01,0.12,0.13,0.01,0.01,0.01,0.01,0.01,0.22,0.12,0.34,11,"The whole process is very slick, prices competitive, and the ratings of nearby fitters helpful to choose who to use. I have used [REDACTED] for a number of years now and never been let down.",discounts
Doc124,0.01,0.01,0.01,0.37,0.01,0.3,0.01,0.2,0.01,0.01,0.01,0.01,3,Got high end tyres for an awesome price. Definitely use again.,change of date
Doc125,0.82,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0,"Friendly service and advice,very good prices through [REDACTED]",value for money
Doc126,0.01,0.32,0.26,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.32,1,Great service and a nice easy way to choose tyres for your budget,garage service
Doc127,0.08,0.0,0.0,0.19,0.1,0.0,0.29,0.0,0.18,0.0,0.13,0.0,6,"No problem ordering online, quick and easy process, good choice of booking slots and pit stop convenient to get to. Took guys longer than expected to change my tyres but could see that they were tired and had a very long and busy day. They were friendly and just nice guys. Thanks for doing the job and will definitely use them again. Cathy",ease of booking
Doc128,0.01,0.01,0.22,0.01,0.01,0.01,0.01,0.01,0.01,0.61,0.01,0.1,9,"This company wont leave you deflated. Really easy peasy way to buy decent reasonably priced tyres with the ability to pick a fitting time,|(if required) that suits your needs. Used them now for the last four or five years and never had a problem.",tyre quality
Doc129,0.02,0.77,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,"Reliable. Fast, reliable and with excellent prices.",garage service
Doc130,0.0,0.3,0.18,0.07,0.0,0.1,0.0,0.1,0.0,0.08,0.1,0.07,1,"What a great service. The [REDACTED] website offered me a great price and the tyres were delivered to my local fitter promptly - as promised! The fitter at M D Tyre & Exhaust Centre, Gorse Lane Industrial Estate, Clacton was friendly and thorough. I would be quite happy to recommend this service!",garage service
Doc131,0.02,0.02,0.02,0.02,0.27,0.02,0.27,0.02,0.02,0.02,0.27,0.02,4,"Was quite happy to book with them, but the reason i only gave an average review my appointment was changed twice and i had other arrangements in place which i had to change",wait time
Doc132,0.39,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.4,11,Quick easy courteous fair value,discounts
Doc133,0.19,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.13,0.52,0.11,0.01,9,Good choice of tyres at a competitive price. This is the second time I have used them and both times I have been very happy with the service.,tyre quality
Doc134,0.02,0.02,0.45,0.02,0.02,0.02,0.02,0.34,0.02,0.02,0.02,0.02,2,"Tyres ok, but balance on wheels was set very wrong by garage. I Gone abroad and had to stop In Germany to set balance again because it was not possible to drive.",mobile fitter
Doc135,0.01,0.44,0.01,0.01,0.01,0.01,0.14,0.19,0.01,0.14,0.01,0.01,1,"Great service, great price and able to book a garage on line at a time that suits",garage service
Doc136,0.03,0.36,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.36,1,Excellent. Easy to navigate web page clear pricing structure . 5 stars,garage service
Doc137,0.01,0.01,0.01,0.16,0.01,0.55,0.01,0.19,0.01,0.01,0.01,0.01,5,Got 4 tyres £150 cheaper and was fitted at my local ats same week would recommend them to anyone,delivery punctuality
Doc138,0.01,0.01,0.01,0.22,0.01,0.44,0.01,0.14,0.01,0.01,0.14,0.01,5,Tyres fitted at ats couldn’t fault them only issue is ats could have done same price and not moaned at having to fit tyres for [REDACTED] stating they didn’t like [REDACTED] Other downside is [REDACTED] don’t offer tyre insurance but ats would have if I bought them from ats insurance at £9 per tyre. I don’t think I’d use [REDACTED] again or recommend them,delivery punctuality
Doc139,0.03,0.69,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,1,"Great price, no fuss",garage service
Doc140,0.31,0.01,0.01,0.01,0.01,0.01,0.01,0.39,0.01,0.01,0.01,0.22,7,"Good value, easy to order and a good local garage to fit the tyre.",location
Doc141,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.77,11,Very easy to order and quick to deliver,discounts
Doc142,0.0,0.12,0.07,0.0,0.0,0.51,0.0,0.0,0.0,0.19,0.07,0.0,5,Tyres delivered quickly and excellent time slot for me. Tyres delivered quickly and excellent time for fitting provided for me. The actual fitting took a bit longer than expected. Apparently this was due to one of the new tyres not inflating on the rim. The fitter stated this was because the tyres are stored badly and when delivered they are slightly mis shapen and won’t fit on the rim properly. He did get there in the end after many attempts. Pleased with the tyres and no other problems encountered.,delivery punctuality
Doc143,0.36,0.28,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.26,0,Thank you again Excellent service. Value for money. Exceptional service. Easy to navigate website. What more do you need? Thanks again [REDACTED].,value for money
Doc144,0.24,0.01,0.11,0.01,0.01,0.01,0.19,0.27,0.01,0.01,0.01,0.14,7,Good prices easy to organise. Buying on line easy with a good range of local fitters - chose a garage we know well and everything was done as expected with no hassles,location
Doc145,0.17,0.01,0.18,0.01,0.01,0.29,0.01,0.28,0.01,0.01,0.01,0.01,5,[REDACTED] does what it says on the tin you get the tyres you want fitted by your trusted local tyre fitter at a very good price,delivery punctuality
